datetime_of_operation,nominal_train_size,image_path,image_name,classification_result,non_defect_prob,defect_prob,nominal_description,defective_description
2024-11-13T23:50:43.079839,20,frame314.jpg,frame314.jpg,Nominal,0.507,0.493,Image frame109.jpg: An image of a normal extrusion profile.,Image frame209.jpg: An image of an under-extruded profile.
2024-11-13T23:50:43.340324,20,frame182.jpg,frame182.jpg,Nominal,0.502,0.498,Image frame427.jpg: An image of a normal extrusion profile.,Image frame409.jpg: An image of an over-extruded profile.
2024-11-13T23:50:43.616014,20,frame433.jpg,frame433.jpg,Nominal,0.509,0.491,Image frame408.jpg: An image of a normal extrusion profile.,Image frame294.jpg: An image of an over-extruded profile.
2024-11-13T23:50:43.873819,20,frame365.jpg,frame365.jpg,Nominal,0.502,0.498,Image frame427.jpg: An image of a normal extrusion profile.,Image frame409.jpg: An image of an over-extruded profile.
2024-11-13T23:50:44.138535,20,frame238.jpg,frame238.jpg,Defective,0.494,0.506,Image frame269.jpg: An image of a normal extrusion profile.,Image frame273.jpg: An image of an under-extruded profile.
2024-11-13T23:50:44.403102,20,frame190.jpg,frame190.jpg,Nominal,0.515,0.485,Image frame136.jpg: An image of a normal extrusion profile.,Image frame124.jpg: An image of an over-extruded profile.
2024-11-13T23:50:44.677368,20,frame90.jpg,frame90.jpg,Nominal,0.505,0.495,Image frame103.jpg: An image of a normal extrusion profile.,Image frame25.jpg: An image of an under-extruded profile.
2024-11-13T23:50:44.975363,20,frame431.jpg,frame431.jpg,Nominal,0.504,0.496,Image frame103.jpg: An image of a normal extrusion profile.,Image frame391.jpg: An image of an over-extruded profile.
2024-11-13T23:50:45.380321,20,frame287.jpg,frame287.jpg,Nominal,0.5,0.5,Image frame341.jpg: An image of a normal extrusion profile.,Image frame25.jpg: An image of an under-extruded profile.
2024-11-13T23:50:45.788427,20,frame447.jpg,frame447.jpg,Nominal,0.501,0.499,Image frame140.jpg: An image of a normal extrusion profile.,Image frame294.jpg: An image of an over-extruded profile.
2024-11-13T23:50:46.194503,20,frame428.jpg,frame428.jpg,Nominal,0.507,0.493,Image frame123.jpg: An image of a normal extrusion profile.,Image frame409.jpg: An image of an over-extruded profile.
2024-11-13T23:50:46.601081,20,frame448.jpg,frame448.jpg,Defective,0.497,0.503,Image frame109.jpg: An image of a normal extrusion profile.,Image frame391.jpg: An image of an over-extruded profile.
2024-11-13T23:50:46.999293,20,frame22.jpg,frame22.jpg,Nominal,0.508,0.492,Image frame140.jpg: An image of a normal extrusion profile.,Image frame149.jpg: An image of an over-extruded profile.
2024-11-13T23:50:47.398940,20,frame343.jpg,frame343.jpg,Nominal,0.512,0.488,Image frame269.jpg: An image of a normal extrusion profile.,Image frame124.jpg: An image of an over-extruded profile.
2024-11-13T23:50:47.799823,20,frame210.jpg,frame210.jpg,Defective,0.498,0.502,Image frame341.jpg: An image of a normal extrusion profile.,Image frame25.jpg: An image of an under-extruded profile.
2024-11-13T23:50:48.219465,20,frame391.jpg,frame391.jpg,Defective,0.499,0.501,Image frame341.jpg: An image of a normal extrusion profile.,Image frame228.jpg: An image of an under-extruded profile.
2024-11-13T23:50:48.659718,20,frame56.jpg,frame56.jpg,Defective,0.497,0.503,Image frame341.jpg: An image of a normal extrusion profile.,Image frame25.jpg: An image of an under-extruded profile.
2024-11-13T23:50:49.084388,20,frame437.jpg,frame437.jpg,Nominal,0.502,0.498,Image frame454.jpg: An image of a normal extrusion profile.,Image frame209.jpg: An image of an under-extruded profile.
2024-11-13T23:50:49.486902,20,frame328.jpg,frame328.jpg,Nominal,0.507,0.493,Image frame109.jpg: An image of a normal extrusion profile.,Image frame391.jpg: An image of an over-extruded profile.
2024-11-13T23:50:49.888048,20,frame261.jpg,frame261.jpg,Defective,0.495,0.505,Image frame269.jpg: An image of a normal extrusion profile.,Image frame273.jpg: An image of an under-extruded profile.
