datetime_of_operation,num_few_shot_nominal_imgs,image_path,image_name,classification_result,non_defect_prob,defect_prob
2024-11-21T16:59:43.659377,50,0138.png,0138.png,Defective,0.497,0.503
2024-11-21T16:59:43.676280,50,0139.png,0139.png,Defective,0.497,0.503
2024-11-21T16:59:43.692988,50,0140.png,0140.png,Defective,0.497,0.503
2024-11-21T16:59:43.709529,50,0141.png,0141.png,Defective,0.497,0.503
2024-11-21T16:59:43.726090,50,0142.png,0142.png,Defective,0.498,0.502
2024-11-21T16:59:43.744635,50,0143.png,0143.png,Defective,0.497,0.503
2024-11-21T16:59:43.761578,50,0144.png,0144.png,Defective,0.496,0.504
2024-11-21T16:59:43.778315,50,0145.png,0145.png,Defective,0.497,0.503
2024-11-21T16:59:43.794965,50,0146.png,0146.png,Defective,0.499,0.501
2024-11-21T16:59:43.811519,50,0147.png,0147.png,Defective,0.498,0.502
2024-11-21T16:59:43.828131,50,0148.png,0148.png,Defective,0.497,0.503
2024-11-21T16:59:43.844860,50,0149.png,0149.png,Defective,0.498,0.502
2024-11-21T16:59:43.861381,50,0150.png,0150.png,Defective,0.497,0.503
2024-11-21T16:59:43.878008,50,0151.png,0151.png,Defective,0.499,0.501
2024-11-21T16:59:43.894502,50,0152.png,0152.png,Defective,0.497,0.503
2024-11-21T16:59:43.911030,50,0153.png,0153.png,Defective,0.496,0.504
2024-11-21T16:59:43.927501,50,0154.png,0154.png,Defective,0.497,0.503
2024-11-21T16:59:43.944135,50,0155.png,0155.png,Defective,0.498,0.502
2024-11-21T16:59:43.960594,50,0156.png,0156.png,Defective,0.498,0.502
2024-11-21T16:59:43.977039,50,0157.png,0157.png,Defective,0.499,0.501
2024-11-21T16:59:43.993459,50,0158.png,0158.png,Defective,0.496,0.504
2024-11-21T16:59:44.009841,50,0159.png,0159.png,Defective,0.497,0.503
2024-11-21T16:59:44.026313,50,0160.png,0160.png,Defective,0.498,0.502
2024-11-21T16:59:44.043389,50,0161.png,0161.png,Defective,0.497,0.503
2024-11-21T16:59:44.060237,50,0162.png,0162.png,Defective,0.496,0.504
2024-11-21T16:59:44.077964,50,0163.png,0163.png,Defective,0.498,0.502
2024-11-21T16:59:44.094829,50,0164.png,0164.png,Defective,0.497,0.503
2024-11-21T16:59:44.112060,50,0165.png,0165.png,Defective,0.497,0.503
2024-11-21T16:59:44.129109,50,0166.png,0166.png,Defective,0.498,0.502
2024-11-21T16:59:44.146117,50,0167.png,0167.png,Defective,0.497,0.503
2024-11-21T16:59:44.163555,50,0168.png,0168.png,Defective,0.497,0.503
2024-11-21T16:59:44.180446,50,0169.png,0169.png,Defective,0.498,0.502
2024-11-21T16:59:44.197457,50,0170.png,0170.png,Defective,0.497,0.503
2024-11-21T16:59:44.214169,50,0171.png,0171.png,Defective,0.496,0.504
2024-11-21T16:59:44.230659,50,0172.png,0172.png,Defective,0.497,0.503
2024-11-21T16:59:44.247196,50,0173.png,0173.png,Defective,0.498,0.502
2024-11-21T16:59:44.263745,50,0174.png,0174.png,Defective,0.496,0.504
2024-11-21T16:59:44.280389,50,0175.png,0175.png,Defective,0.497,0.503
2024-11-21T16:59:44.296950,50,0176.png,0176.png,Defective,0.496,0.504
2024-11-21T16:59:44.313453,50,0177.png,0177.png,Defective,0.497,0.503
2024-11-21T16:59:44.329880,50,0178.png,0178.png,Defective,0.497,0.503
2024-11-21T16:59:44.346644,50,0179.png,0179.png,Defective,0.497,0.503
2024-11-21T16:59:44.363130,50,0180.png,0180.png,Defective,0.498,0.502
2024-11-21T16:59:44.379920,50,0181.png,0181.png,Defective,0.497,0.503
2024-11-21T16:59:44.396490,50,0182.png,0182.png,Defective,0.499,0.501
2024-11-21T16:59:44.413016,50,0183.png,0183.png,Defective,0.497,0.503
2024-11-21T16:59:44.429439,50,0184.png,0184.png,Defective,0.498,0.502
2024-11-21T16:59:44.445897,50,0185.png,0185.png,Defective,0.499,0.501
2024-11-21T16:59:44.462360,50,0186.png,0186.png,Defective,0.497,0.503
2024-11-21T16:59:44.478949,50,0187.png,0187.png,Defective,0.497,0.503
2024-11-21T16:59:44.495329,50,0067.png,0067.png,Defective,0.496,0.504
2024-11-21T16:59:44.511746,50,0068.png,0068.png,Defective,0.497,0.503
2024-11-21T16:59:44.528104,50,0069.png,0069.png,Defective,0.498,0.502
2024-11-21T16:59:44.544621,50,0070.png,0070.png,Defective,0.496,0.504
2024-11-21T16:59:44.561049,50,0071.png,0071.png,Defective,0.497,0.503
2024-11-21T16:59:44.577574,50,0072.png,0072.png,Defective,0.496,0.504
2024-11-21T16:59:44.593981,50,0073.png,0073.png,Defective,0.497,0.503
2024-11-21T16:59:44.610824,50,0074.png,0074.png,Defective,0.496,0.504
2024-11-21T16:59:44.627501,50,0075.png,0075.png,Defective,0.497,0.503
2024-11-21T16:59:44.645667,50,0076.png,0076.png,Defective,0.496,0.504
2024-11-21T16:59:44.662193,50,0077.png,0077.png,Defective,0.497,0.503
2024-11-21T16:59:44.678826,50,0078.png,0078.png,Defective,0.496,0.504
2024-11-21T16:59:44.695408,50,0079.png,0079.png,Defective,0.497,0.503
2024-11-21T16:59:44.711911,50,0080.png,0080.png,Defective,0.497,0.503
2024-11-21T16:59:44.728376,50,0081.png,0081.png,Defective,0.496,0.504
2024-11-21T16:59:44.744980,50,0082.png,0082.png,Defective,0.496,0.504
2024-11-21T16:59:44.761534,50,0083.png,0083.png,Defective,0.498,0.502
2024-11-21T16:59:44.777906,50,0084.png,0084.png,Defective,0.497,0.503
2024-11-21T16:59:44.794330,50,0085.png,0085.png,Defective,0.497,0.503
2024-11-21T16:59:44.810778,50,0086.png,0086.png,Defective,0.497,0.503
2024-11-21T16:59:44.827230,50,0087.png,0087.png,Defective,0.498,0.502
2024-11-21T16:59:44.843648,50,0088.png,0088.png,Defective,0.495,0.505
2024-11-21T16:59:44.860233,50,0089.png,0089.png,Defective,0.496,0.504
2024-11-21T16:59:44.876719,50,0090.png,0090.png,Defective,0.497,0.503
2024-11-21T16:59:44.893195,50,0091.png,0091.png,Defective,0.498,0.502
2024-11-21T16:59:44.909590,50,0092.png,0092.png,Defective,0.496,0.504
2024-11-21T16:59:44.926035,50,0093.png,0093.png,Defective,0.498,0.502
2024-11-21T16:59:44.942464,50,0094.png,0094.png,Defective,0.497,0.503
2024-11-21T16:59:44.959207,50,0095.png,0095.png,Defective,0.498,0.502
2024-11-21T16:59:44.975772,50,0096.png,0096.png,Defective,0.497,0.503
2024-11-21T16:59:44.992252,50,0097.png,0097.png,Defective,0.496,0.504
2024-11-21T16:59:45.008746,50,0098.png,0098.png,Defective,0.497,0.503
2024-11-21T16:59:45.025323,50,0099.png,0099.png,Defective,0.497,0.503
2024-11-21T16:59:45.041772,50,0100.png,0100.png,Defective,0.496,0.504
2024-11-21T16:59:45.058323,50,0101.png,0101.png,Defective,0.497,0.503
2024-11-21T16:59:45.075694,50,0102.png,0102.png,Defective,0.496,0.504
2024-11-21T16:59:45.092037,50,0103.png,0103.png,Defective,0.497,0.503
2024-11-21T16:59:45.108748,50,0104.png,0104.png,Defective,0.497,0.503
2024-11-21T16:59:45.125474,50,0105.png,0105.png,Defective,0.497,0.503
2024-11-21T16:59:45.142126,50,0106.png,0106.png,Defective,0.497,0.503
2024-11-21T16:59:45.158835,50,0107.png,0107.png,Defective,0.497,0.503
2024-11-21T16:59:45.175606,50,0108.png,0108.png,Defective,0.498,0.502
2024-11-21T16:59:45.192486,50,0109.png,0109.png,Defective,0.497,0.503
2024-11-21T16:59:45.209142,50,0110.png,0110.png,Defective,0.497,0.503
2024-11-21T16:59:45.225700,50,0111.png,0111.png,Defective,0.496,0.504
2024-11-21T16:59:45.242202,50,0112.png,0112.png,Defective,0.496,0.504
2024-11-21T16:59:45.258909,50,0113.png,0113.png,Defective,0.497,0.503
2024-11-21T16:59:45.275650,50,0114.png,0114.png,Defective,0.498,0.502
