datetime_of_operation,num_few_shot_nominal_imgs,image_path,image_name,classification_result,non_defect_prob,defect_prob,nominal_description,defective_description
2025-01-15T14:00:13.873977,72,microstructure_241.png,microstructure_241.png,Defective,0.5,0.5,Image microstructure_275.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_047.png: An microstructure image with a medium band structure.
2025-01-15T14:00:13.894858,72,microstructure_094.png,microstructure_094.png,Nominal,0.5,0.5,Image microstructure_121.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_022.png: An microstructure image with a low band structure.
2025-01-15T14:00:13.915803,72,microstructure_297.png,microstructure_297.png,Nominal,0.5,0.5,Image microstructure_165.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_026.png: An microstructure image with a high band structure.
2025-01-15T14:00:13.936735,72,microstructure_156.png,microstructure_156.png,Nominal,0.5,0.5,Image microstructure_098.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_044.png: An microstructure image with a high band structure.
2025-01-15T14:00:13.957661,72,microstructure_103.png,microstructure_103.png,Nominal,0.501,0.499,Image microstructure_262.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_044.png: An microstructure image with a high band structure.
2025-01-15T14:00:13.978574,72,microstructure_210.png,microstructure_210.png,Nominal,0.502,0.498,Image microstructure_074.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_044.png: An microstructure image with a low band structure.
2025-01-15T14:00:14.000214,72,microstructure_136.png,microstructure_136.png,Nominal,0.5,0.5,Image microstructure_063.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_026.png: An microstructure image with a high band structure.
2025-01-15T14:00:14.021089,72,microstructure_273.png,microstructure_273.png,Nominal,0.501,0.499,Image microstructure_264.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_044.png: An microstructure image with a low band structure.
2025-01-15T14:00:14.041964,72,microstructure_126.png,microstructure_126.png,Nominal,0.501,0.499,Image microstructure_049.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_044.png: An microstructure image with a low band structure.
2025-01-15T14:00:14.062816,72,microstructure_256.png,microstructure_256.png,Nominal,0.501,0.499,Image microstructure_050.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_031.png: An microstructure image with a high band structure.
2025-01-15T14:00:14.083805,72,microstructure_182.png,microstructure_182.png,Nominal,0.501,0.499,Image microstructure_098.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_026.png: An microstructure image with a high band structure.
2025-01-15T14:00:14.106460,72,microstructure_213.png,microstructure_213.png,Nominal,0.501,0.499,Image microstructure_048.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_036.png: An microstructure image with a low band structure.
2025-01-15T14:00:14.127356,72,microstructure_270.png,microstructure_270.png,Nominal,0.501,0.499,Image microstructure_157.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_044.png: An microstructure image with a high band structure.
2025-01-15T14:00:14.148180,72,microstructure_112.png,microstructure_112.png,Nominal,0.5,0.5,Image microstructure_093.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_044.png: An microstructure image with a low band structure.
2025-01-15T14:00:14.168912,72,microstructure_159.png,microstructure_159.png,Defective,0.5,0.5,Image microstructure_144.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_022.png: An microstructure image with a low band structure.
2025-01-15T14:00:14.189997,72,microstructure_279.png,microstructure_279.png,Nominal,0.501,0.499,Image microstructure_165.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_044.png: An microstructure image with a low band structure.
2025-01-15T14:00:14.211551,72,microstructure_170.png,microstructure_170.png,Defective,0.5,0.5,Image microstructure_038.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_031.png: An microstructure image with a high band structure.
2025-01-15T14:00:14.232325,72,microstructure_266.png,microstructure_266.png,Defective,0.5,0.5,Image microstructure_234.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_022.png: An microstructure image with a low band structure.
2025-01-15T14:00:14.252996,72,microstructure_039.png,microstructure_039.png,Nominal,0.5,0.5,Image microstructure_098.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_044.png: An microstructure image with a low band structure.
2025-01-15T14:00:14.273866,72,microstructure_106.png,microstructure_106.png,Nominal,0.5,0.5,Image microstructure_157.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_022.png: An microstructure image with a low band structure.
2025-01-15T14:00:14.295083,72,microstructure_240.png,microstructure_240.png,Defective,0.5,0.5,Image microstructure_121.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_023.png: An microstructure image with a low band structure.
2025-01-15T14:00:14.316855,72,microstructure_076.png,microstructure_076.png,Nominal,0.501,0.499,Image microstructure_157.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_047.png: An microstructure image with a medium band structure.
2025-01-15T14:00:14.338675,72,microstructure_293.png,microstructure_293.png,Nominal,0.501,0.499,Image microstructure_162.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_047.png: An microstructure image with a medium band structure.
2025-01-15T14:00:14.359594,72,microstructure_109.png,microstructure_109.png,Nominal,0.501,0.499,Image microstructure_162.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_047.png: An microstructure image with a medium band structure.
2025-01-15T14:00:14.380474,72,microstructure_211.png,microstructure_211.png,Nominal,0.5,0.5,Image microstructure_277.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_022.png: An microstructure image with a low band structure.
2025-01-15T14:00:14.401451,72,microstructure_030.png,microstructure_030.png,Nominal,0.5,0.5,Image microstructure_050.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_022.png: An microstructure image with a low band structure.
2025-01-15T14:00:14.422267,72,microstructure_179.png,microstructure_179.png,Nominal,0.5,0.5,Image microstructure_265.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_047.png: An microstructure image with a medium band structure.
2025-01-15T14:00:14.442850,72,microstructure_214.png,microstructure_214.png,Nominal,0.5,0.5,Image microstructure_275.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_047.png: An microstructure image with a medium band structure.
2025-01-15T14:00:14.463470,72,microstructure_239.png,microstructure_239.png,Nominal,0.5,0.5,Image microstructure_165.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_036.png: An microstructure image with a low band structure.
2025-01-15T14:00:14.484126,72,microstructure_064.png,microstructure_064.png,Nominal,0.501,0.499,Image microstructure_248.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_047.png: An microstructure image with a medium band structure.
2025-01-15T14:00:14.504934,72,microstructure_072.png,microstructure_072.png,Nominal,0.5,0.5,Image microstructure_235.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_026.png: An microstructure image with a high band structure.
2025-01-15T14:00:14.525690,72,microstructure_168.png,microstructure_168.png,Nominal,0.501,0.499,Image microstructure_101.png: An microstructure image with uniformly distributed grain sizes and colors.,Image microstructure_044.png: An microstructure image with a high band structure.
