nominal_train_size,accuracy,sensitivity,specificity,precision,f1_score,auc
2,0.5825,0.865,0.3,0.5527156549520766,0.6744639376218323,0.6594749999999999
4,0.55,0.885,0.215,0.5299401197604791,0.6629213483146067,0.6525749999999999
6,0.5525,0.86,0.245,0.5325077399380805,0.6577437858508605,0.6623625
8,0.5475,0.845,0.25,0.5297805642633229,0.651252408477842,0.6565375000000001
10,0.585,0.81,0.36,0.5586206896551724,0.6612244897959184,0.6860499999999999
20,0.63,0.705,0.555,0.6130434782608696,0.6558139534883721,0.7038125000000001
30,0.6225,0.705,0.54,0.6051502145922747,0.651270207852194,0.7016499999999999
40,0.615,0.655,0.575,0.6064814814814815,0.6298076923076923,0.697625
50,0.63,0.665,0.595,0.6214953271028038,0.642512077294686,0.7062875
60,0.63,0.65,0.61,0.625,0.6372549019607843,0.7063999999999999
70,0.645,0.665,0.625,0.6394230769230769,0.6519607843137255,0.7078249999999999
80,0.655,0.655,0.655,0.655,0.655,0.6870625
90,0.665,0.66,0.67,0.6666666666666666,0.6633165829145728,0.6805000000000001
100,0.66,0.655,0.665,0.6616161616161617,0.6582914572864321,0.679225
120,0.6425,0.645,0.64,0.6417910447761194,0.6433915211970075,0.6642999999999999
150,0.69,0.685,0.695,0.6919191919191919,0.6884422110552764,0.6876375
200,0.6775,0.67,0.685,0.6802030456852792,0.6750629722921915,0.685725
250,0.68,0.69,0.67,0.6764705882352942,0.6831683168316832,0.6853
300,0.68,0.67,0.69,0.6836734693877551,0.6767676767676768,0.6890625
