datetime_of_operation,image_path,image_name,classification_result,non_defect_prob,defect_prob,nominal_description,defective_description
2024-11-07T21:37:19.934801,layer2,layer2,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:20.160049,layer3,layer3,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:20.392421,layer4,layer4,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:20.604948,layer5,layer5,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:20.846392,layer6,layer6,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:37:21.061759,layer7,layer7,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:21.277045,layer8,layer8,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:21.504422,layer9,layer9,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:21.716633,layer10,layer10,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:21.930582,layer11,layer11,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:22.150088,layer12,layer12,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:22.384486,layer13,layer13,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:22.600664,layer14,layer14,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer303: A defective layer
2024-11-07T21:37:22.813652,layer15,layer15,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer58: A defective layer
2024-11-07T21:37:23.043281,layer16,layer16,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer90: A defective layer
2024-11-07T21:37:23.298336,layer17,layer17,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:23.686862,layer18,layer18,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:24.063542,layer19,layer19,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:24.445992,layer20,layer20,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:24.788088,layer21,layer21,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:37:25.130909,layer22,layer22,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:25.482711,layer23,layer23,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer90: A defective layer
2024-11-07T21:37:25.836513,layer24,layer24,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:26.187005,layer25,layer25,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:26.537870,layer28,layer28,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:26.896569,layer29,layer29,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:27.249714,layer30,layer30,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:27.622144,layer31,layer31,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:28.001865,layer32,layer32,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:28.385560,layer33,layer33,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:28.682757,layer34,layer34,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:28.937263,layer35,layer35,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:29.185654,layer36,layer36,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:29.440556,layer37,layer37,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:37:29.682456,layer38,layer38,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:29.939870,layer39,layer39,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:30.189967,layer40,layer40,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:30.450631,layer41,layer41,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:30.707052,layer42,layer42,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:30.965042,layer43,layer43,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer303: A defective layer
2024-11-07T21:37:31.208534,layer44,layer44,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:31.443831,layer45,layer45,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer228: A defective layer
2024-11-07T21:37:31.667497,layer46,layer46,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:31.902700,layer47,layer47,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:32.119513,layer48,layer48,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:32.337603,layer49,layer49,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:32.547671,layer50,layer50,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:32.762413,layer51,layer51,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:32.991992,layer52,layer52,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:37:33.210060,layer53,layer53,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:33.431190,layer54,layer54,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:33.647119,layer55,layer55,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer228: A defective layer
2024-11-07T21:37:33.861197,layer56,layer56,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:37:34.092875,layer57,layer57,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:34.317834,layer64,layer64,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:34.534833,layer65,layer65,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer58: A defective layer
2024-11-07T21:37:34.749022,layer66,layer66,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:34.979198,layer67,layer67,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:35.197059,layer68,layer68,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:35.416508,layer69,layer69,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:35.633103,layer70,layer70,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:35.845343,layer71,layer71,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:36.073024,layer72,layer72,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:36.299532,layer73,layer73,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:37:36.548666,layer74,layer74,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:36.792132,layer75,layer75,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer58: A defective layer
2024-11-07T21:37:37.054172,layer76,layer76,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:37.298106,layer77,layer77,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:37.527217,layer78,layer78,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:37.739332,layer79,layer79,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:37.949223,layer80,layer80,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:37:38.176688,layer81,layer81,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:38.411623,layer82,layer82,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:38.715959,layer83,layer83,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:37:39.100191,layer84,layer84,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:39.475981,layer85,layer85,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:39.824965,layer86,layer86,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:40.168330,layer87,layer87,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:40.537917,layer88,layer88,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:40.913921,layer89,layer89,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:41.304661,layer97,layer97,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:41.666586,layer98,layer98,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:42.008276,layer99,layer99,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer58: A defective layer
2024-11-07T21:37:42.359879,layer100,layer100,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer192: A defective layer
